-DOCSTART- -X- -X- -X-
   
Before O O O
I O O O
tell O O O
you O O O
about O O O
the O O O
seasonally O O O
attuned O O O
courses O O O
the O O O
chef O O O
Hiroki O O O
Odo O O O
prepares O O O
at O O O
his O O O
new O O O
and O O O
virtuosic O O O
kaiseki O B-TYPE B-TYPE
restaurant, O I-TYPE I-TYPE
Odo, O B-EST B-TYPE
I O O O
want O O O
to O O O
tell O O O
you O O O
about O O O
some O O O
that O O O
he O O O
does O O O
not O O O
prepare. O O O
At O O O
two O O O
points O O O
during O O O
the O O O
March O O O
menu, O O O
a O O O
person O O O
who O O O
is O O O
not O O O
Mr. O O O
Odo O O O
faces O O O
you O O O
across O O O
the O O O
thick O O O
plank O O O
of O O O
Lebanon O O O
cedar O O O
that O O O
forms O O O
the O O O
dining O O O
counter O O O
and O O O
makes O O O
something O O O
for O O O
you. O O O
The O O O
first O O O
time O O O
is O O O
about O O O
halfway O O O
through O O O
the O O O
meal, O O O
when O O O
Seong O O O
Cheol O O O
Byun O O O
shows O O O
up, O O O
shapes O O O
half O O O
a O O O
dozen O O O
pieces O O O
of O O O
sushi O B-FOOD B-FOOD
and O O O
lays O O O
them O O O
down, O O O
one O O O
by O O O
one, O O O
in O O O
front O O O
of O O O
you. O O O
Some O O O
of O O O
his O O O
ingredients, O O O
kept O O O
on O O O
wooden O O O
trays O O O
that O O O
he O O O
carries O O O
from O O O
place O O O
to O O O
place, O O O
are O O O
typical, O O O
like O O O
the O O O
warm O O O
short-grain O B-FOOD B-FOOD
rice O I-FOOD I-FOOD
and O O O
the O O O
dark O O O
nikiri O B-FOOD B-FOOD
that O O O
he O O O
will O O O
brush O O O
over O O O
certain O O O
fish. O B-FOOD B-FOOD
Others O O O
are O O O
less O O O
typical. O O O
The O O O
ginger O B-FOOD B-FOOD
he O O O
mounds O O O
on O O O
your O O O
plate O O O
is O O O
pickled O O O
together O O O
with O O O
sliced O O B-FOOD
lotus O B-FOOD I-FOOD
root O I-FOOD I-FOOD
and O O O
daikon. O B-FOOD B-FOOD
On O O O
March O O O
1, O O O
looking O O O
forward O O O
to O O O
spring, O O O
he O O O
added O O O
cherry O O O
leaves O O O
to O O O
the O O O
mix. O O O
Mr. O O O
Byun, O O O
a O O O
Korean-American, O O O
ferments O O O
daikon, O O O
cabbage O O O
and O O O
sesame O O O
seeds O O O
to O O O
make O O O
white O O O
kimchi, O O O
which O O O
he O O O
wraps O O O
inside O O O
nori O O O
for O O O
a O O O
tuna O O O
roll. O O O
You O O O
eat O O O
it O O O
like O O O
an O O O
ice O O O
cream O O O
cone, O O O
but O O O
faster. O O O
When O O O
Mr. O O O
Byun O O O
worked O O O
at O O O
Sushi O O O
Nakazawa, O O O
much O O O
of O O O
the O O O
seafood O O O
he O O O
used O O O
was O O O
flown O O O
in O O O
from O O O
Japan. O O O
At O O O
Odo, O O O
almost O O O
all O O O
the O O O
fish O O O
have O O O
been O O O
caught O O O
off O O O
the O O O
East O O O
Coast O O O
of O O O
North O O O
America: O O O
Long O O O
Island O O O
black O O O
sea O O O
bass, O O O
Florida O O O
mackerel O O O
and O O O
North O O O
Carolina O O O
bluefin O O O
tuna, O O O
which O O O
may O O O
be O O O
several O O O
weeks O O O
old O O O
before O O O
Mr. O O O
Byun O O O
is O O O
ready O O O
to O O O
serve O O O
it. O O O
This O O O
sushi O O O
reflects O O O
the O O O
American O O O
region O O O
where O O O
it O O O
is O O O
made, O O O
incorporates O O O
the O O O
Korean O O O
background O O O
of O O O
the O O O
chef O O O
making O O O
it O O O
and O O O
still O O O
has O O O
an O O O
unmistakably O O O
Japanese O O O
spirit. O O O
This O O O
one O O O
course, O O O
if O O O
tripled O O O
in O O O
length, O O O
could O O O
be O O O
spun O O O
off O O O
into O O O
a O O O
separate O O O
establishment O O O
that O O O
would O O O
probably O O O
be O O O
among O O O
the O O O
top O O O
two O O O
dozen O O O
sushi O O O
restaurants O O O
in O O O
the O O O
city. O O O
The O O O
second O O O
time O O O
an O O O
Odo O O O
course O O O
is O O O
prepared O O O
while O O O
you O O O
watch, O O O
it O O O
is O O O
made O O O
in O O O
a O O O
cocktail O O O
shaker O O O
and O O O
served O O O
in O O O
a O O O
cocktail O O O
glass. O O O
It O O O
is, O O O
as O O O
you O O O
may O O O
have O O O
guessed, O O O
a O O O
cocktail, O O O
though O O O
it O O O
is O O O
also O O O
the O O O
first O O O
of O O O
two O O O
desserts, O O O
sweetish O O O
and O O O
not O O O
especially O O O
boozy. O O O
Frank O O O
Cisneros, O O O
the O O O
sommelier, O O O
subordinates O O O
the O O O
alcohol O O O
to O O O
fresh O O O
fruit, O O O
in O O O
the O O O
style O O O
of O O O
the O O O
revered O O O
Tokyo O O O
bar O O O
Gen O O O
Yamamoto O O O
. O O O
Barrel-aged O O O
shochu O O O
is O O O
muddled O O O
with O O O
one O O O
or O O O
two O O O
sprightly O O O
segments O O O
of O O O
mikan O O O
orange, O O O
subjected O O O
to O O O
a O O O
calisthenic O O O
shake O O O
and O O O
strained O O O
into O O O
a O O O
delicately O O O
etched O O O
glass O O O
before O O O
a O O O
shimmer O O O
of O O O
sparkling O O O
wine O O O
is O O O
laid O O O
down O O O
on O O O
top. O O O
Orange O O O
juice O O O
in O O O
cocktails O O O
usually O O O
tastes O O O
diluted O O O
and O O O
weak; O O O
in O O O
this O O O
drink, O O O
it O O O
was O O O
radiant. O O O
I O O O
would O O O
say O O O
that O O O
the O O O
drinkable O O O
dessert O O O
course O O O
could O O O
be O O O
expanded O O O
into O O O
a O O O
separate O O O
cocktail O O O
bar, O O O
except O O O
that O O O
Odo O O O
already O O O
has O O O
one O O O
of O O O
those. O O O
Odo, O O O
which O O O
opened O O O
in O O O
December O O O
a O O O
few O O O
minutes' O O O
walk O O O
from O O O
the O O O
Flatiron O O O
Building, O O O
is O O O
entered O O O
through O O O
a O O O
door O O O
hidden O O O
in O O O
the O O O
back O O O
of O O O
a O O O
compact O O O
den O O O
-- O O O
cafe O O O
by O O O
day O O O
and O O O
bar O O O
by O O O
night O O O
-- O O O
called O O O
Hall. O O O
This O O O
arrangement O O O
seems O O O
to O O O
remind O O O
people O O O
of O O O
a O O O
speakeasy, O O O
although O O O
it O O O
would O O O
take O O O
an O O O
especially O O O
clueless O O O
bootlegger O O O
to O O O
open O O O
a O O O
speakeasy O O O
inside O O O
a O O O
bar. O O O
So O O O
far, O O O
Hall O O O
has O O O
not O O O
been O O O
fully O O O
discovered, O O O
but O O O
it O O O
still O O O
gets O O O
busy O O O
enough O O O
at O O O
dinner O O O
time O O O
that O O O
you O O O
can O O O
be O O O
stranded O O O
by O O O
the O O O
front O O O
door O O O
for O O O
a O O O
few O O O
minutes O O O
before O O O
anyone O O O
on O O O
staff O O O
notices. O O O
Some O O O
diners O O O
on O O O
their O O O
way O O O
to O O O
Odo O O O
will O O O
find O O O
this O O O
an O O O
awkward O O O
start O O O
to O O O
a O O O
meal O O O
that O O O
costs O O O
$200 O O O
before O O O
tax, O O O
tip O O O
and O O O
drinks. O O O
But O O O
they O O O
may O O O
also O O O
discern O O O
that O O O
Hall, O O O
lined O O O
with O O O
carved O O O
oak O O O
panels O O O
