-DOCSTART- -X- -X- -X-
   
For O O O
a O O O
long O O O
time, O O O
the O O O
seriousness O O O
of O O O
a O O O
pizzeria O B-TYPE B-TYPE
could O O O
be O O O
gauged O O O
by O O O
a O O O
simple O O O
yes-or-no O O O
question: O O O
Did O O O
it O O O
sell O O O
pizza O B-FOOD B-FOOD
by O O O
the O O O
slice? O O O
The O O O
ones O O O
that O O O
cared O O O
the O O O
most O O O
about O O O
upholding O O O
traditions, O O O
maintaining O O O
quality O O O
and O O O
so O O O
on O O O
-- O O O
like O O O
Totonno's O B-EST B-EST
, O O O
John's O B-EST B-EST
of O I-EST I-EST
Bleecker O I-EST I-EST
Street O I-EST I-EST
, O O O
Kesté O B-EST B-EST
, O O O
Lucali O B-EST B-EST
, O O O
Una O B-EST B-EST
Pizza O I-EST I-EST
Napoletana O I-EST I-EST
-- O O O
emphatically O O O
did O O O
not. O O O
Today, O O O
we O O O
live O O O
in O O O
the O O O
era O O O
of O O O
the O O O
elevated O O O
slice O B-TYPE O
joint. O I-TYPE O
Some O O O
of O O O
them, O O O
like O O O
Scarr's O B-EST B-EST
, O O O
grind O O O
wheat O B-FOOD O
berries O I-FOOD O
into O O O
new O O O
flour O B-FOOD O
every O O O
day. O O O
Many O O O
use O O O
minuscule O O O
quantities O O O
of O O O
yeast; O B-FOOD O
others O O O
abandon O O O
commercial O O O
yeast O B-FOOD O
altogether O O O
in O O O
favor O O O
of O O O
the O O O
natural O O O
leavening O O O
in O O O
sourdough O B-FOOD O
starters. O I-FOOD O
There O O O
are O O O
slice O B-TYPE B-TYPE
joints O I-TYPE I-TYPE
that O O O
ferment O O O
their O O O
dough O B-FOOD B-FOOD
for O O O
a O O O
day, O O O
some O O O
that O O O
let O O O
it O O O
bubble O O O
away O O O
for O O O
two O O O
days O O O
and O O O
a O O O
few O O O
that O O O
go O O O
in O O O
for O O O
three O O O
days. O O O
A O O O
new O O O
example O O O
of O O O
the O O O
breed, O O O
F&F O B-EST B-EST
Pizzeria O I-EST I-EST
, O O O
opened O O O
in O O O
Brooklyn O B-LOC B-LOC
last O O O
week O O O
with O O O
the O O O
help O O O
of O O O
a O O O
baker O O O
whose O O O
starter O B-FOOD O
dough O I-FOOD O
has O O O
traveled O O O
internationally O O O
and O O O
another O O O
baker O O O
who O O O
has O O O
decades O O O
of O O O
experience O O O
at O O O
the O O O
end O O O
of O O O
a O O O
pizza O O O
paddle. O O O
Among O O O
themselves, O O O
these O O O
new-school O O O
pizza O B-FOOD O
makers O O O
speak O O O
of O O O
hydration O O O
levels, O O O
fermentation O O O
periods O O O
and O O O
digestibility. O O O
Many O O O
of O O O
these O O O
slice O O O
masters O O O
are O O O
chasing O O O
an O O O
ideal O O O
version O O O
of O O O
the O O O
foldable, O O O
portable O O O
triangle O O O
sold O O O
across O O O
linoleum O O O
counters O O O
in O O O
all O O O
five O O O
boroughs, O O O
a O O O
search O O O
suffused O O O
with O O O
nostalgia O O O
for O O O
an O O O
era O O O
before O O O
processed O O O
cheese, O B-FOOD B-FOOD
sweetened O O O
sauce O B-FOOD B-FOOD
and O O O
wholesale O O O
dough. O B-FOOD O
Others O O O
are O O O
celebrated O O O
for O O O
achievements O O O
in O O O
the O O O
square O O O
slice, O O O
a O O O
descendant O O O
of O O O
the O O O
Sicilian, O B-CUISINE B-CUISINE
with O O O
an O O O
airier, O O O
less O O O
doughy O O O
crust; O B-FOOD O
leaders O O O
in O O O
this O O O
style O O O
include O O O
Corner O B-EST B-EST
Slice O I-EST I-EST
and O O O
Mama's O B-EST B-EST
Too O I-EST I-EST
. O O O
Perhaps O O O
the O O O
smallest O O O
group O O O
of O O O
all O O O
are O O O
the O O O
bakers O O O
who O O O
turn O O O
their O O O
eyes O O O
toward O O O
Rome, O B-LOC B-LOC
where O O O
the O O O
slices O O O
are O O O
rectangular O O O
and O O O
are O O O
known O O O
as O O O
pizza O B-DISH B-FOOD
al O I-DISH I-FOOD
taglio. O I-DISH I-FOOD
They O O O
resemble O O O
focaccia O B-FOOD B-FOOD
more O O O
than O O O
a O O O
$3 O O O
slice O O O
from O O O
Ray's O B-EST B-EST
, O O O
and O O O
it's O O O
doubtful O O O
that O O O
the O O O
practitioners O O O
of O O O
this O O O
style O O O
even O O O
think O O O
of O O O
themselves O O O
as O O O
belonging O O O
to O O O
the O O O
elevated-slice O O O
movement. O O O
But O O O
I'd O O O
argue O O O
that O O O
they O O O
do O O O
belong O O O
to O O O
it, O O O
and O O O
that O O O
some O O O
of O O O
the O O O
most O O O
elevated O O O
slices O O O
in O O O
the O O O
area O O O
at O O O
the O O O
moment O O O
are O O O
the O O O
Roman-style O B-CUISINE B-CUISINE
ones O O O
that O O O
