-DOCSTART- -X- -X- -X-
   
The O O O
nice O O O
man O O O
who O O O
brought O O O
samples O O O
of O O O
the O O O
banoffee B-DISH B-FOOD O
macaron I-DISH I-FOOD O
to O O O
me O O O
and O O O
other O O O
customers O O O
one O O O
recent O O O
morning O O O
began, O O O
a O O O
few O O O
moments O O O
later, O O O
to O O O
gently O O O
buff O O O
the O O O
doors O O O
and O O O
windows O O O
of O O O
a O O O
new, O O O
rose-gold O O O
prototype O O O
car O O O
with O O O
a O O O
soft O O O
cloth. O O O
I O O O
could O O O
see O O O
this O O O
because O O O
the O O O
car O O O
and O O O
I O O O
were O O O
sharing O O O
a O O O
room O O O
on O O O
West B-LOC B-LOC O
14th I-LOC I-LOC O
Street. I-LOC I-LOC O
The O O O
car O O O
was O O O
in O O O
the O O O
back O O O
and O O O
I O O O
was O O O
in O O O
the O O O
middle, O O O
sitting O O O
at O O O
one O O O
of O O O
the O O O
cafe O B-TYPE O
tables O O O
near O O O
the O O O
stairs O O O
to O O O
the O O O
second O O O
floor, O O O
where O O O
there O O O
is O O O
a O O O
bar O B-TYPE O
shaped O O O
like O O O
a O O O
wheel O O O
and O O O
a O O O
restaurant O O O
with O O O
a O O O
menu O O O
devised O O O
by O O O
Gregory O O O
Marchand, O O O
the O O O
chef O O O
of O O O
the O O O
Frenchie O B-EST O
restaurants O O O
in O O O
Paris B-LOC B-LOC O
and O O O
London. B-LOC B-LOC O
The O O O
employees O O O
in O O O
all O O O
of O O O
these O O O
rooms O O O
work O O O
for O O O
the O O O
Union O O O
Square O O O
Hospitality O O O
Group O O O
, O O O
which O O O
I O O O
suppose O O O
means O O O
that O O O
Danny O O O
Meyer, O O O
the O O O
group's O O O
founder O O O
and O O O
one O O O
of O O O
the O O O
world's O O O
best-known O O O
restaurateurs, O O O
is O O O
now O O O
also O O O
in O O O
the O O O
business O O O
of O O O
polishing O O O
automobiles. O O O
The O O O
whole O O O
operation O O O
is O O O
called O O O
Intersect B-DISH O O
by I-DISH O O
Lexus I-DISH O O
, O O O
which O O O
gives O O O
you O O O
a O O O
good O O O
idea O O O
who O O O
made O O O
the O O O
car O O O
and O O O
was O O O
paying O O O
to O O O
keep O O O
it O O O
shiny O O O
and O O O
free O O O
of O O O
dust. O O O
Intersect O O O
by O O O
Lexus O O O
is O O O
one O O O
of O O O
those O O O
modern O O O
places O O O
where O O O
brands, O O O
instead O O O
of O O O
asking O O O
you O O O
to O O O
buy O O O
one O O O
of O O O
their O O O
products O O O
then O O O
and O O O
there, O O O
instead O O O
try O O O
to O O O
make O O O
you O O O
feel O O O
the O O O
kinds O O O
of O O O
emotions O O O
about O O O
the O O O
brand O O O
that O O O
may O O O
lead O O O
to O O O
a O O O
sale O O O
later O O O
on. O O O
This O O O
is O O O
a O O O
job O O O
formerly O O O
performed O O O
by O O O
advertisements. O O O
In O O O
fact, O O O
Lexus O O O
used O O O
to O O O
publish O O O
a O O O
print O O O
magazine O O O
and O O O
mail O O O
it O O O
to O O O
its O O O
customers, O O O
back O O O
when O O O
that O O O
seemed O O O
like O O O
a O O O
good O O O
way O O O
to O O O
persuade O O O
people O O O
to O O O
have O O O
emotions O O O
about O O O
a O O O
car. O O O
Now O O O
we O O O
live O O O
in O O O
the O O O
age O O O
of O O O
the O O O
"branded O O O
experience." O O O
A O O O
toilet-paper O O O
manufacturer O O O
will O O O
send O O O
you O O O
a O O O
wheeled O O O
toilet O O O
on O O O
demand O O O
. O O O
A O O O
mattress O O O
company O O O
will O O O
encourage O O O
you O O O
to O O O
sleep O O O
inside O O O
a O O O
roaming O O O
"napmobile." O O O
Makers O O O
of O O O
a O O O
crunchy O O O
orange O O O
snack O O O
open O O O
restaurants, O O O
lasting O O O
just O O O
a O O O
few O O O
days O O O
, O O O
where O O O
chefs O O O
put O O O
the O O O
crunchy O O O
orange O O O
snack O O O
into O O O
meatballs, B-FOOD O O
tacos, B-FOOD O O
