-DOCSTART- -X- -X- -X-
   
Sometimes O O O
when O O O
I O O O
am O O O
waiting, O O O
and O O O
waiting, O O O
for O O O
a O O O
barista O O O
to O O O
steam O O O
milk B-FOOD O O
for O O O
my O O O
cortado, O O B-DISH
I O O O
like O O O
to O O O
pass O O O
the O O O
time O O O
by O O O
imagining O O O
what O O O
life O O O
would O O O
be O O O
like O O O
if O O O
Howard O O O
Schultz O O O
had O O O
boarded O O O
the O O O
wrong O O O
plane O O O
in O O O
1981 O O O
and O O O
flown O O O
to O O O
Penang O O B-LOC
instead O O O
of O O O
Milan. O O B-LOC
Starbucks, O O B-EST
the O O O
company O O O
he O O O
joined O O O
after O O O
that O O O
trip O O O
and O O O
would O O O
eventually O O O
lead O O O
, O O O
might O O O
teach O O O
its O O O
employees O O O
the O O O
fine O O O
arts O O O
of O O O
Malaysian O O B-CUISINE
kopi, O O B-FOOD
brewed O O O
by O O O
pouring O O O
hot O O O
water O O O
over O O O
grounds O O O
in O O O
the O O O
bottom O O O
of O O O
a O O O
sock, O O O
rather O O O
than O O O
show O O O
them O O O
how O O O
to O O O
operate O O O
an O O O
espresso O O O
machine. O O O
Instead O O O
of O O O
white-chocolate O O B-DISH
mocha O O I-DISH
lattes, O O I-DISH
we O O O
would O O O
drink O O O
bek-kopi, O O B-DISH
white O O B-FOOD
coffee, O O I-FOOD
brewed O O O
from O O O
beans O O O
that O O O
are O O O
lightly O O O
roasted O O O
in O O O
palm O O B-FOOD
oil O O I-FOOD
margarine. O O I-FOOD
Venti O O O
would O O O
just O O O
be O O O
Italian O O O
for O O O
a O O O
number, O O O
while O O O
kopi-C O O B-DISH
kosong, O O I-DISH
or O O O
strong O O O
black O O B-FOOD
coffee O O I-FOOD
with O O O
unsweetened O O B-FOOD
condensed O O I-FOOD
milk, O O I-FOOD
would O O O
have O O O
entered O O O
the O O O
American O O O
lexicon, O O O
along O O O
with O O O
kopi O O B-DISH
tarik, O O I-DISH
the O O O
same O O O
drink O O O
made O O O
with O O O
sweetened O O B-FOOD
condensed O O I-FOOD
milk. O O I-FOOD
There O O O
would O O O
be O O O
no O O O
competitions O O O
where O O O
baristas O O O
drew O O O
swans O O O
and O O O
elephants O O O
in O O O
milk O O O
froth, O O O
and O O O
in O O O
their O O O
place O O O
we O O O
would O O O
have O O O
exhibitions O O O
of O O O
coffee O O O
and O O O
tea O O O
pulling O O O
, O O O
the O O O
art O O O
of O O O
cooling O O O
the O O O
beverage O O O
while O O O
coaxing O O O
the O O O
milk O O O
in O O O
it O O O
to O O O
form O O O
a O O O
foamy O O O
head O O O
by O O O
pouring O O O
it O O O
from O O O
one O O O
pot O O O
to O O O
another O O O
in O O O
long, O O O
swooping, O O O
steamy O O O
cataracts. O O O
In O O O
other O O O
words, O O O
the O O O
places O O O
where O O O
we O O O
get O O O
our O O O
caffeine O O O
fix O O O
might O O O
look O O O
a O O O
lot O O O
like O O O
Kopitiam O O B-EST
, O O O
on O O O
East O O B-LOC
Broadway O O I-LOC
in O O I-LOC
Chinatown. O O I-LOC
Kyo O O O
Pang O O O
founded O O O
Kopitiam O O B-EST
three O O O
years O O O
ago O O O
as O O O
a O O O
homage O O O
to O O O
the O O O
coffee O O B-TYPE
and O O I-TYPE
tea O O I-TYPE
parlors O O I-TYPE
of O O O
Malaysia, O O B-LOC
where O O O
she O O O
grew O O O
up. O O O
A O O O
typical O O O
Malaysian O O B-CUISINE
kopitiam O O B-TYPE
is O O O
a O O O
ramshackle O O O
hangout O O O
where O O O
people O O O
drop O O O
in O O O
to O O O
read O O O
the O O O
morning O O O
paper, O O O
grab O O O
breakfast, O O O
catch O O O
up O O O
on O O O
neighborhood O O O
gossip O O O
and O O O
do O O O
all O O O
the O O O
other O O O
things O O O
that O O O
classically O O O
accompany O O O
a O O O
cup O O O
of O O O
tea O O B-FOOD
or O O O
coffee. O O B-FOOD
Something O O O
of O O O
that O O O
spirit O O O
pervades O O O
Kopitiam, O O B-EST
too. O O O
[Read O O O
about O O O
some O O O
of O O O
the O O O
best O O O
new O O O
restaurants O O O
in O O O
New O O O
York O O O
City O O O
(for O O O
now).] O O O
The O O O
original O O O
Kopitiam, O O B-EST
reviewed O O O
by O O O
Ligaya O O O
Mishan O O O
in O O O
a O O O
2015 O O O
Hungry O O O
City O O O
column, O O O
was O O O
situated O O O
around O O O
the O O O
corner O O O
on O O O
Canal O O B-LOC
Street O O I-LOC
and O O O
had O O O
just O O O
four O O O
seats O O O
at O O O
a O O O
single O O O
counter. O O O
In O O O
June, O O O
Ms. O O O
Pang O O O
and O O O
her O O O
new O O O
business O O O
partner, O O O
Moonlynn O O O
Tsai, O O O
relocated O O O
to O O O
a O O O
larger, O O O
if O O O
still O O O
fairly O O O
intimate, O O O
space O O O
a O O O
few O O O
steps O O O
above O O O
the O O O
sidewalk. O O O
You O O O
order O O O
at O O O
the O O O
counter O O O
and O O O
receive O O O
a O O O
number O O O
on O O O
a O O O
metal O O O
stand, O O O
a O O O
kind O O O
of O O O
promissory O O O
note O O O
for O O O
the O O O
food O O O
and O O O
beverages. O O O
If O O O
you O O O
show O O O
up O O O
on O O O
a O O O
weekday O O O
in O O O
the O O O
morning O O O
or O O O
afternoon, O O O
when O O O
seats O O O
are O O O
not O O O
hard O O O
to O O O
come O O O
by O O O
and O O O
the O O O
room O O O
has O O O
a O O O
languid, O O O
unhurried O O O
air, O O O
you O O O
could O O O
get O O O
just O O O
a O O O
cup O O O
of O O O
bek-kopi O O B-DISH
and O O O
linger O O O
over O O O
it O O O
with O O O
a O O O
newspaper. O O O
You O O O
will O O O
probably O O O
want O O O
more O O O
than O O O
that, O O O
though. O O O
From O O O
9 O O O
a.m., O O O
when O O O
the O O O
doors O O O
open, O O O
until O O O
10 O O O
p.m., O O O
when O O O
they O O O
close, O O O
you O O O
can O O O
get O O O
nasi O O B-DISH
lemak, O O I-DISH
Malaysia's O O O
national O O O
dish O O O
and O O O
a O O O
particular O O O
favorite O O O
at O O O
breakfast. O O O
I O O O
don't O O O
know O O O
another O O O
kitchen O O O
in O O O
the O O O
city O O O
where O O O
the O O O
fragrances O O O
of O O O
coconut O O B-FOOD
and O O O
pandan O O B-FOOD
leaf O O I-FOOD
infuse O O O
the O O O
rice O O B-FOOD
as O O O
elegantly, O O O
or O O O
where O O O
the O O O
tiny O O O
dried O O B-FOOD
fish, O O I-FOOD
which O O O
Kopitiam O O B-EST
fries O O O
with O O O
peanuts, O O B-FOOD
form O O O
a O O O
caramelized O O O
crust O O O
that O O O
erases O O O
the O O O
distinction O O O
between O O O
sweet O O O
and O O O
savory. O O O
Or O O O
your O O O
breakfast O O O
could O O O
be O O O
a O O O
bowl O O O
of O O O
two O O B-FOOD
eggs O O I-FOOD
boiled O O O
just O O O
long O O O
enough O O O
to O O O
turn O O O
the O O O
whites O O O
opaque O O O
while O O O
leaving O O O
the O O O
yolks O O O
free O O O
to O O O
billow O O O
into O O O
mushroom-soy O O B-FOOD
broth O O I-FOOD
underneath. O O O
Or O O O
it O O O
might O O O
be O O O
fish O O B-DISH
ball O O I-DISH
soup, O O I-DISH
grape-size O O O
globes O O O
of O O O
ground O O B-FOOD
fish O O I-FOOD
in O O O
a O O O
cloudy O O O
white O O O
broth; O O B-FOOD
if O O O
the O O O
grains O O O
of O O O
white O O O
pepper O O O
on O O O
the O O O
surface O O O
aren't O O O
intense O O O
enough O O O
for O O O
you, O O O
you O O O
can O O O
stir O O O
in O O O
a O O O
little O O O
fish O O B-FOOD
sauce O O I-FOOD
spiced O O O
with O O B-FOOD
bird's O O I-FOOD
eye O O I-FOOD
chiles. O O I-FOOD
Rice O O B-FOOD
vermicelli O O I-FOOD
can O O O
be O O O
added, O O O
too, O O O
but O O O
the O O O
soup O O B-FOOD
is O O O
easier O O O
to O O O
appreciate O O O
in O O O
pure O O O
liquid O O O
form. O O O
For O O O
mornings O O O
when O O O
nothing O O O
but O O O
a O O O
cannonball O O O
dive O O O
into O O O
sugar O O O
will O O O
do, O O O
Kopitiam O O B-EST
is O O O
ready O O O
with O O O
a O O O
sculptural O O O
pile O O O
of O O O
thick-cut O O O
French O O B-DISH
toast O O I-DISH
battered O O I-DISH
with O O O
Milo O O B-FOOD
malt-chocolate O O I-FOOD
powder, O O I-FOOD
a O O O
Malaysian O O B-CUISINE
passion, O O O
with O O O
streams O O O
of O O O
sweetened O O B-FOOD
condensed O O I-FOOD
milk O O I-FOOD
playing O O O
the O O O
part O O O
that O O O
in O O O
this O O O
country O O O
is O O O
normally O O O
taken O O O
by O O O
maple O O O
syrup. O O O
Eat O O O
the O O O
whole O O O
stack O O O
and O O O
you O O O
will O O O
know O O O
the O O O
answer O O O
to O O O
the O O O
musical O O O
question O O O
posed O O O
by O O O
the O O O
Cramps: O O O
How O O O
far O O O
can O O O
too O O O
far O O O
go? O O O
At O O O
10:30 O O O
a.m. O O O
Ms. O O O
Pang, O O O
the O O O
chef, O O O
adds O O O
a O O O
gang O O O
of O O O
new O O O
dishes O O O
to O O O
the O O O
breakfast O O O
crew, O O O
and O O O
all O O O
of O O O
them O O O
stick O O O
around O O O
until O O O
closing O O O
time. O O O
There O O O
are O O O
fresh O O O
little O O O
oysters O O B-FOOD
embedded O O O
in O O O
a O O O
thin O O O
browned O O O
omelet, O O B-FOOD
rice O O B-DISH
noodles O O I-DISH
in O O I-DISH
a O O I-DISH
chilled O O I-DISH
sesame-oil O O I-DISH
broth O O I-DISH
with O O O
a O O O
growl O O O
of O O O
chile O O O
heat O O O
and O O O
spicy O O B-DISH
skate O O I-DISH
steamed O O I-DISH
in O O I-DISH
banana O O I-DISH
leaves, O O I-DISH
the O O O
classic O O O
acoustic O O O
version O O O
of O O O
the O O O
dish O O O
that O O O
Max O O O
Ng O O O
plays O O O
with O O O
amplifiers O O O
and O O O
wah-wah O O O
pedals O O O
at O O O
Momofuku O O B-EST
Ssam O O I-EST
Bar O O I-EST
. O O O
Any O O O
of O O O
these O O O
could O O O
make O O O
a O O O
small O O O
meal. O O O
But O O O
one O O O
of O O O
the O O O
most O O O
inviting O O O
aspects O O O
of O O O
Kopitiam O O B-EST
is O O O
Ms. O O O
Pang's O O O
fidelity O O O
to O O O
the O O O
Malaysian O O B-CUISINE
love O O I-CUISINE
of O O O
snacks. O O O
Pandan O O B-FOOD
leaves O O I-FOOD
wrapped O O O
around O O O
a O O O
kind O O O
of O O O
chicken O O B-FOOD
sausage; O O I-FOOD
ground O O B-FOOD
five-spice O O I-FOOD
pork O O I-FOOD
rolled O O O
inside O O O
bean-curd O O B-FOOD
skins O O I-FOOD
and O O O
fried; O O O
fried O O O
strips O O O
of O O O
mackerel O O B-FOOD
sausage O O I-FOOD
with O O O
a O O O
curry-leaf O O B-FOOD
sauce O O I-FOOD
-- O O O
any O O O
of O O O
them O O O
makes O O O
a O O O
fine O O O
appetizer, O O O
but O O O
each O O O
could O O O
just O O O
as O O O
easily O O O
be O O O
the O O O
entire O O O
goal O O O
of O O O
a O O O
between-meals O O O
stop O O O
at O O O
Kopitiam. O O B-EST
For O O O
that O O O
matter, O O O
so O O O
could O O O
the O O O
small O O O
sweets O O O
like O O O
pulut: O O B-DISH
triangular, O O O
pandan-wrapped O O O
bundles O O O
of O O O
sticky O O B-FOOD
rice O O I-FOOD
tinted O O O
with O O O
blue O O B-FOOD
morning O O I-FOOD
glory O O I-FOOD
flowers O O I-FOOD
