-DOCSTART- -X- -X- -X-
   
Nobody O O O
goes O O O
to O O O
Rome B-LOC B-LOC O
for O O O
the O O O
pizza. B-FOOD B-FOOD O
Rectangles O O O
of O O O
pizza B-FOOD B-FOOD O
bianca I-FOOD I-FOOD O
cut O O O
with O O O
scissors O O O
on O O O
the O O O
Campo B-LOC B-LOC O
de' I-LOC I-LOC O
Fiori I-LOC I-LOC O
from O O O
long O O O
planks O O O
shaped O O O
like O O O
diving O O O
boards, O O O
yes, O O O
but O O O
not O O O
for O O O
regular O O O
pizza. B-FOOD B-FOOD O
The O O O
standard O O O
circular O O O
pie B-FOOD B-FOOD O
is O O O
something O O O
travelers O O O
eat O O O
only O O O
after O O O
saltimbocca, B-FOOD B-FOOD O
puntarelle, B-FOOD B-FOOD O
spicy B-FOOD B-FOOD O
tripe, I-FOOD I-FOOD O
salt B-FOOD B-FOOD O
cod I-FOOD I-FOOD O
fritters, I-FOOD I-FOOD O
semolina B-FOOD B-FOOD O
gnocchi, I-FOOD I-FOOD O
porchetta, B-FOOD B-FOOD O
artichokes B-DISH B-FOOD O
fried I-DISH I-FOOD O
alla I-DISH I-FOOD O
giudia I-DISH I-FOOD O
and O O O
the O O O
holy O O O
pasta O B-FOOD O
trinity O O O
of O O O
cacio B-DISH B-FOOD O
e I-DISH I-FOOD O
pepe, I-DISH I-FOOD O
amatriciana B-DISH B-FOOD O
and O O O
carbonara B-DISH B-FOOD O
have O O O
all O O O
been O O O
checked O O O
off O O O
the O O O
list. O O O
It O O O
is O O O
food O O O
for O O O
the O O O
fifth O O O
night O O O
of O O O
vacation. O O O
And O O O
now O O O
the O O O
chef O O O
Nick O O O
Anderer O O O
has O O O
come O O O
to O O O
make O O O
this O O O
lesser O O O
stop O O O
on O O O
Rome's B-LOC B-LOC O
culinary O O O
pilgrimage O O O
route O O O
the O O O
main O O O
event O O O
of O O O
his O O O
new O O O
pizzeria, B-TYPE B-TYPE O
Marta B-EST B-EST O
. O O O
For O O O
the O O O
last O O O
five O O O
years O O O
Mr. O O O
Anderer O O O
has O O O
been O O O
a O O O
faithful O O O
custodian O O O
of O O O
the O O O
more O O O
famous O O O
Roman O O O
landmarks O O O
at O O O
Maialino B-EST B-EST O
, O O O
in O O O
the O O O
Gramercy B-LOC B-LOC O
Park I-LOC I-LOC O
