-DOCSTART- -X- -X- -X-
   
Anthony O O O
Bourdain O O O
entered O O O
the O O O
literary O O O
stage O O O
with O O O
an O O O
inside O O O
tip, O O O
delivered O O O
in O O O
the O O O
gruff O O O
whisper O O O
of O O O
a O O O
racetrack O O O
tout: O O O
Don't O O O
order O O O
fish B-FOOD B-FOOD O
on O O O
Mondays. O O O
It O O O
was O O O
the O O O
part O O O
that O O O
everybody O O O
remembered O O O
from O O O
his O O O
first O O O
published O O O
work, O O O
a O O O
long O O O
essay O O O
about O O O
the O O O
unglamorous O O O
and O O O
sometimes O O O
unsavory O O O
work O O O
of O O O
cooks O O O
and O O O
dishwashers O O O
that O O O
ran O O O
in O O O
The O O O
New O O O
Yorker O O O
in O O O
1999 O O O
and O O O
that O O O
made O O O
it O O O
almost O O O
impossible O O O
for O O O
waiters O O O
to O O O
sell O O O
seafood B-FOOD B-FOOD O
between O O O
Sunday O O O
and O O O
Tuesday O O O
for O O O
at O O O
least O O O
a O O O
decade. O O O
And O O O
the O O O
advice O O O
gave O O O
Mr. O O O
Bourdain, O O O
a O O O
journeyman O O O
cook O O O
and O O O
chef O O O
nobody O O O
had O O O
heard O O O
of, O O O
a O O O
new O O O
career. O O O
Before O O O
he O O O
was O O O
found O O O
dead O O O
on O O O
Friday O O O
, O O O
in O O O
what O O O
the O O O
authorities O O O
were O O O
treating O O O
as O O O
a O O O
suicide, O O O
he O O O
was O O O
the O O O
witty, O O O
connected O O O
guide O O O
who, O O O
in O O O
memoirs, O O O
cookbooks O O O
and O O O
television O O O
shows, O O O
would O O O
tell O O O
you O O O
things O O O
that O O O
others O O O
wouldn't. O O O
In O O O
the O O O
glossy, O O O
cheerful, O O O
relentlessly O O O
promotional O O O
realms O O O
of O O O
food O O O
and O O O
travel O O O
writing, O O O
that O O O
left O O O
him O O O
a O O O
fair O O O
number O O O
of O O O
truths O O O
he O O O
could O O O
claim O O O
as O O O
his O O O
own, O O O
and O O O
he O O O
took O O O
full O O O
advantage O O O
of O O O
the O O O
situation. O O O
A O O O
close O O O
reader O O O
of O O O
Orwell O O O
, O O O
he O O O
modeled O O O
that O O O
first O O O
essay O O O
and O O O
the O O O
book O O O
that O O O
grew O O O
out O O O
of O O O
it, O O O
"Kitchen O O O
Confidential: O O O
Adventures O O O
in O O O
the O O O
Culinary O O O
Underbelly," O O O
on O O O
Orwell's O O O
"Down O O O
and O O O
Out O O O
in O O O
Paris O B-LOC O
and O O O
London." O B-LOC O
While O O O
other O O O
restaurant O O O
writers O O O
had O O O
helped O O O
build O O O
the O O O
cult O O O
of O O O
the O O O
creative, O O O
artistic O O O
chef, O O O
Mr. O O O
Bourdain O O O
made O O O
folk O O O
heroes O O O
out O O O
of O O O
the O O O
dishwasher O O O
and O O O
the O O O
line O O O
cook O O O
-- O O O
a O O O
job O O O
description O O O
previously O O O
known O O O
only O O O
to O O O
restaurant O O O
employees. O O O
He O O O
described O O O
their O O O
lives O O O
and O O O
their O O O
day-to-day O O O
work O O O
in O O O
concrete, O O O
indelible O O O
detail. O O O
When O O O
kitchens O O O
were O O O
being O O O
wrapped O O O
in O O O
a O O O
shimmering O O O
gauze O O O
of O O O
glamour, O O O
Mr. O O O
Bourdain O O O
got O O O
busy O O O
unwrapping O O O
them, O O O
revealing O O O
the O O O
injuries O O O
and O O O
addictions, O O O
low O O O
wages O O O
and O O O
high O O O
tempers O O O
that O O O
took O O O
a O O O
toll O O O
on O O O
workers. O O O
Among O O O
other O O O
things, O O O
he O O O
was O O O
one O O O
of O O O
the O O O
first O O O
writers O O O
to O O O
tell O O O
the O O O
dining O O O
public O O O
that O O O
many O O O
high-profile O O O
New B-LOC B-LOC O
York I-LOC I-LOC O
restaurants O O O
would O O O
cease O O O
to O O O
function O O O
without O O O
the O O O
work O O O
and O O O
talents O O O
of O O O
Mexican O O O
employees. O O O
It O O O
was O O O
almost O O O
a O O O
casual O O O
aside, O O O
yet O O O
it O O O
suddenly O O O
opened O O O
new O O O
subjects O O O
to O O O
the O O O
purview O O O
of O O O
food O O O
writing: O O O
immigration O O O
policy, O O O
labor O O O
conditions, O O O
racism. O O O
He O O O
identified O O O
with O O O
the O O O
grunts, O O O
portraying O O O
himself O O O
as O O O
a O O O
slinger O O O
of O O O
cheap O O O
steaks B-FOOD B-FOOD O
and O O O
French B-FOOD B-FOOD O
fries. I-FOOD I-FOOD O
The O O O
grunts, O O O
in O O O
turn, O O O
identified O O O
with O O O
him, O O O
not O O O
because O O O
of O O O
his O O O
contributions O O O
as O O O
a O O O
chef O O O
-- O O O
who O O O
can O O O
name O O O
an O O O
Anthony O O O
Bourdain O O O
dish? O O O
-- O O O
but O O O
because O O O
he O O O
told O O O
the O O O
world O O O
what O O O
the O O O
work O O O
was O O O
really O O O
like. O O O
And O O O
once O O O
he O O O
left O O O
kitchens O O O
behind O O O
for O O O
a O O O
career O O O
in O O O
travel O O O
television, O O O
he O O O
didn't O O O
lead O O O
his O O O
camera O O O
crews O O O
on O O O
a O O O
tour O O O
of O O O
the O O O
world's O O O
most O O O
luxurious O O O
resorts. O O O
He O O O
went O O O
to O O O
Detroit B-LOC B-LOC O
and O O O
the O O O
Bronx, B-LOC B-LOC O
Libya B-LOC B-LOC O
and O O O
Beirut. B-LOC B-LOC O
"Good O O O
food, O O O
good O O O
eating, O O O
is O O O
all O O O
about O O O
blood O O O
and O O O
organs, O O O
cruelty O O O
and O O O
decay," O O O
he O O O
wrote O O O
in O O O
the O O O
opening O O O
sentence O O O
of O O O
that O O O
New O O O
Yorker O O O
piece, O O O
and O O O
