-DOCSTART- -X- -X- -X-
   
"Does O O O
the O O O
sheep's B-DISH B-DISH O
head I-DISH I-DISH O
soup I-DISH I-DISH O
have O O O
a O O O
lot O O O
of O O O
stuff O O O
in O O O
it?" O O O
I O O O
asked O O O
my O O O
server. O O O
Realizing O O O
that O O O
this O O O
was O O O
somewhat O O O
ambiguous, O O O
especially O O O
applied O O O
to O O O
a O O O
dish O O O
as O O O
laden O O O
with O O O
stuff O O O
as O O O
the O O O
brew O O O
of O O O
lambs' B-FOOD B-FOOD O
snouts, I-FOOD I-FOOD O
ears, B-FOOD B-FOOD O
tongues, B-FOOD B-FOOD O
cheeks B-FOOD B-FOOD O
and O O O
eyeballs B-FOOD B-FOOD O
known O O O
in O O O
Turkey B-LOC B-LOC O
as O O O
kelle B-DISH B-FOOD O
paca, I-DISH I-FOOD O
I O O O
tried O O O
again. O O O
"Is O O O
it O O O
very O O O
filling, O O O
I O O O
mean?" O O O
My O O O
concern O O O
was O O O
a O O O
familiar O O O
one, O O O
to O O O
me O O O
at O O O
least. O O O
I O O O
was O O O
in O O O
Queens, B-LOC B-DISH O
at O O O
a O O O
new O O O
Turkish B-CUISINE B-CUISINE O
restaurant O O O
in O O O
Astoria B-LOC B-LOC O
called O O O
Lokanta B-EST B-EST O
, O O O
and O O O
the O O O
menu O O O
was O O O
so O O O
appealing O O O
that O O O
I O O O
wanted O O O
to O O O
try O O O
it O O O
all. O O O
Already O O O
I O O O
was O O O
set O O O
on O O O
a O O O
few O O O
bourekas, B-DISH B-DISH O
some O O O
labneh, B-DISH B-DISH O
the O O O
fava B-DISH B-DISH O
dip I-DISH I-DISH O
and O O O
some O O O
form O O O
of O O O
braised B-FOOD B-DISH O
lamb I-FOOD I-DISH O
over O I-DISH O
eggplant. B-FOOD I-DISH O
I'd O O O
spotted O O O
another O O O
three O O O
or O O O
four O O O
dishes O O O
that O O O
I O O O
was O O O
probably O O O
going O O O
to O O O
tack O O O
on O O O
at O O O
the O O O
end O O O
of O O O
my O O O
order, O O O
as O O O
if O O O
by O O O
afterthought. O O O
I O O O
suspected O O O
that O O O
I O O O
could O O O
add O O O
a O O O
small O O O
bowl O O O
of O O O
kelle B-DISH B-DISH O
paca I-DISH I-DISH O
and O O O
still O O O
eat O O O
everything O O O
else. O O O
But O O O
a O O O
big O O O
bowl, O O O
one O O O
so O O O
thick O O O
with O O O
bits O O O
formerly O O O
affixed O O O
to O O O
a O O O
sheep's O O O
skull O O O
that O O O
a O O O
spoon O O O
would O O O
stand O O O
up O O O
in O O O
it, O O O
might O O O
tip O O O
the O O O
scale. O O O
The O O O
server O O O
pondered O O O
this O O O
for O O O
a O O O
while O O O
until O O O
a O O O
wiry O O O
man O O O
got O O O
up O O O
from O O O
his O O O
marble-topped O O O
table O O O
in O O O
the O O O
corner O O O
and O O O
conferred O O O
