-DOCSTART- -X- -X- -X-
   
Coco O B-EST B-EST
Pazzo O I-EST I-EST
is O O O
back. O O O
Those O O O
of O O O
you O O O
who O O O
did O O O
not O O O
eat O O O
out O O O
in O O O
Manhattan O B-LOC B-LOC
in O O O
the O O O
1990s O O O
have O O O
no O O O
idea O O O
what O O O
I'm O O O
talking O O O
about. O O O
Those O O O
who O O O
did O O O
may O O O
now O O O
be O O O
having O O O
flashbacks O O O
to O O O
a O O O
rustic-chic O O O
Tuscan-esque O B-CUISINE B-CUISINE
restaurant, O O O
Coco O B-EST B-EST
Pazzo, O I-EST I-EST
which O O O
got O O O
a O O O
three-star O O O
Times O O O
review O O O
from O O O
Marian O O O
Burros O O O
in O O O
1991 O O O
, O O O
and O O O
to O O O
its O O O
three O O O
New O O O
York O O O
siblings, O O O
all O O O
long O O O
gone. O O O
A O O O
restaurateur's O O O
name O O O
may O O O
be O O O
emerging O O O
from O O O
the O O O
mists O O O
of O O O
time O O O
-- O O O
the O O O
name O O O
is O O O
Pino O O O
Luongo O O O
-- O O O
and O O O
linked O O O
to O O O
it, O O O
the O O O
names O O O
of O O O
other O O O
vanished O O O
restaurants, O O O
Le O B-EST B-EST
Madri O I-EST I-EST
, O O O
Mad. O B-EST B-EST
61 O I-EST I-EST
, O O O
Amarcord O B-EST B-EST
and O O O
Tuscan O B-EST B-EST
Square. O I-EST I-EST
For O O O
readers O O O
of O O O
tabloid O O O
gossip O O O
columns, O O O
images O O O
of O O O
pasta-twirling O B-FOOD O
models O O O
and O O O
executives O O O
in O O O
Armani O O O
suits O O O
may O O O
be O O O
coming O O O
into O O O
focus, O O O
along O O O
with O O O
bold-face-laden O O O
squibs O O O
about O O O
the O O O
social O O O
scenes O O O
at O O O
Mr. O O O
Luongo's O O O
establishments O O O
in O O O
Wainscott, O B-LOC B-LOC
N.Y., O I-LOC I-LOC
and O O O
on O O O
St. O B-LOC B-LOC
Barts. O I-LOC I-LOC
If O O O
you O O O
have O O O
trouble O O O
believing O O O
that O O O
spaghetti O B-FOOD B-FOOD
and O O O
fettuccine O B-FOOD B-FOOD
once O O O
attracted O O O
what O O O
The O O O
Times O O O
critic O O O
Bryan O O O
Miller, O O O
reviewing O O O
Le O B-EST O
Madri O I-EST O
in O O O
1989 O O O
, O O O
called O O O
"the O O O
hugs-and-kisses-I-love-your-hat-Ciao-baby O O O
crowd," O O O
it O O O
may O O O
be O O O
useful O O O
to O O O
remember O O O
that O O O
this O O O
was O O O
an O O O
era O O O
when O O O
pasta O B-FOOD B-FOOD
was O O O
commonly O O O
thought O O O
to O O O
be O O O
a O O O
health O O O
food. O O O
Nobody O O O
has O O O
seen O O O
the O O O
Ciao-baby O O O
crowd O O O
in O O O
a O O O
while. O O O
(We'll O O O
have O O O
to O O O
send O O O
out O O O
a O O O
search O O O
party O O O
if O O O
it's O O O
not O O O
back O O O
in O O O
10 O O O
more O O O
years.) O O O
So O O O
far O O O
that O O O
is O O O
not O O O
who O O O
goes O O O
to O O O
Coco O B-EST B-EST
Pazzo O I-EST I-EST
Trattoria O I-EST I-EST
, O O O
which O O O
is O O O
shaping O O O
up O O O
to O O O
be O O O
a O O O
reliable O O O
and O O O
fairly O O O
priced O O O
neighborhood O O O
canteen O B-TYPE O
on O O O
the O O O
SoHo O B-LOC B-LOC
corner O O O
that O O O
used O O O
to O O O
house O O O
a O O O
deliberately O O O
unstylish O O O
bar O B-TYPE O
called O O O
Milady's O B-EST B-EST
. O O O
On O O O
balance, O O O
Mr. O O O
Luongo's O O O
version O O O
of O O O
Tuscan O B-CUISINE B-CUISINE
food O O I-CUISINE
retrofitted O O O
for O O O
American O O O
appetites O O O
may O O O
be O O O
easier O O O
to O O O
see O O O
for O O O
what O O O
it O O O
is O O O
now O O O
that O O O
it O O O
has O O O
lost O O O
its O O O
fashionable O O O
gloss. O O O
(He O O O
is O O O
the O O O
executive O O O
chef; O O O
Pedro O O O
Cruz O O O
is O O O
his O O O
chef O O O
de O O O
cuisine.) O O O
When O O O
you O O O
order O O O
pappa O B-DISH B-DISH
al O I-DISH I-DISH
pomodoro O I-DISH I-DISH
and O O O
taste O O O
the O O O
juicy O O O
olive O B-FOOD B-FOOD
oil O I-FOOD I-FOOD
that O O O
slicks O O O
the O O O
warm, O O O
basil-flecked, O B-FOOD O
bread-thickened O B-FOOD O
tomato O B-FOOD B-FOOD
pulp, O I-FOOD I-FOOD
you're O O O
not O O O
earning O O O
bragging O O O
rights. O O O
You're O O O
eating O O O
soup, O B-FOOD O
and O O O
a O O O
very O O O
good O O O
one. O O O
Nobody O O O
will O O O
think O O O
you're O O O
a O O O
culinary O O O
trailblazer O O O
if O O O
you O O O
get O O O
the O O O
cacciucco, O B-DISH B-DISH
either, O O O
but O O O
you O O O
can O O O
console O O O
yourself O O O
with O O O
the O O O
tender O O B-FOOD
shrimp, O B-FOOD I-FOOD
scallops, O B-FOOD B-FOOD
cod O B-FOOD B-FOOD
and O O I-FOOD
clams O B-FOOD B-FOOD
in O O O
the O O O
faintly O O O
spicy O O O
and O O O
fennel-scented O B-FOOD O
broth. O I-FOOD B-FOOD
There O O O
are O O O
two O O O
ways O O O
to O O O
approach O O O
dinner O O O
at O O O
Coco O B-EST B-EST
Pazzo O I-EST I-EST
Trattoria. O I-EST I-EST
(By O O O
day O O O
the O O O
place O O O
is O O O
a O O O
casual O O O
outfit O O O
called O O O
Coco O B-EST B-EST
Pazzo O I-EST I-EST
Kitchen.) O I-EST I-EST
One O O O
is O O O
to O O O
order O O O
what O O O
Mr. O O O
Luongo O O O
calls O O O
a O O O
piatto O B-DISH O
unico, O I-DISH O
a O O O
helping O O O
of O O O
pasta O B-FOOD O
next O O O
to O O O
a O O O
related O O O
something-extra O O O
on O O O
one O O O
rectangular O O O
plate. O O O
Baked O B-FOOD B-FOOD
littlenecks O I-FOOD I-FOOD
wobble O O O
next O O O
to O O O
a O O O
twirl O O O
of O O O
linguine O B-FOOD B-FOOD
and, O O O
nice O O O
surprise O O O
here, O O O
ribbons O O O
of O O B-FOOD
zucchini O B-FOOD I-FOOD
soaking O O O
in O O O
a O O O
fine O O O
white O B-FOOD B-FOOD
clam O I-FOOD I-FOOD
sauce O I-FOOD I-FOOD
that O O O
is O O O
made O O O
with O O O
just O O O
the O O O
firm, O O O
sweet O O O
bits. O O O
Soft O O O
chicken-and-ricotta O B-FOOD B-DISH
polpettine O I-FOOD I-DISH
sit O O O
next O O O
to O O O
rigatoni O B-FOOD B-DISH
in O O I-DISH
sugo, O B-FOOD I-DISH
not O O O
on O O O
top, O O O
so O O O
you O O O
can O O O
have O O O
pasta O B-FOOD B-FOOD
first O O O
and O O O
meatballs O B-FOOD B-FOOD
second O O O
and O O O
tell O O O
yourself O O O
you're O O O
eating O O O
like O O O
a O O O
real O O O
Italian. O O O
Alternatively, O O O
you O O O
might O O O
go O O O
with O O O
the O O O
main O O O
courses O O O
marked O O O
"Per O O O
La O O O
Tavola." O O O
For O O O
once O O O
these O O O
plates O O O
really O O O
are O O O
meant O O O
for O O O
sharing: O O O
a O O O
substantial O O O
stack O O O
of O O O
spiced O B-DISH O
and O I-DISH O
roasted O I-DISH O
baby-back O I-DISH B-DISH
ribs O I-DISH I-DISH
under O O O
a O O O
warm O O O
slaw O B-FOOD O
of O O O
cucumbers O B-FOOD B-DISH
and O O O
tomatoes, O B-FOOD B-DISH
or O O O
a O O O
spread O O O
of O O O
grilled O B-FOOD B-DISH
rib-eye O I-FOOD I-DISH
slices O O O
served O O O
with O O O
a O O O
separate O O O
plate O O O
of O O O
"Tuscan O B-DISH B-DISH
fries," O I-DISH I-DISH
distinguishable O O O
from O O O
the O O O
regular O O O
kind O O O
by O O O
their O O B-DISH
fried O B-FOOD I-DISH
rosemary O I-FOOD I-DISH
needles. O I-FOOD I-DISH
Those O O O
fries O B-FOOD B-DISH
may O O O
be O O O
awesomely O O O
browned O O O
one O O O
week O O O
but O O O
ghostly O O O
and O O O
uncrisp O O O
the O O O
next. O O O
The O O O
tagliolini O B-FOOD B-DISH
cooked O O I-DISH
in O O I-DISH
the O O I-DISH
cacciucco O B-FOOD I-DISH
broth O I-FOOD I-DISH
as O O O
a O O O
second O O O
course O O O
after O O O
all O O O
the O O O
seafood O B-FOOD O
has O O O
been O O O
eaten O O O
might O O O
be O O O
60 O O O
seconds O O O
away O O O
from O O O
being O O O
al O O O
dente. O O O
I O O O
am O O O
not O O O
enthusiastic O O O
about O O O
the O O O
slightly O O O
tough O O O
squid O B-FOOD B-DISH
in O O O
moist O O O
bread O B-FOOD B-DISH
crumbs, O I-FOOD I-DISH
baked O O O
rather O O O
than O O O
fried, O O O
although O O O
the O O O
dish O O O
has O O O
a O O O
following O O O
at O O O
Mr. O O O
Luongo's O O O
other O O O
restaurant, O O O
Morso, O B-EST B-EST
next O O O
to O O O
the O O O
Ed O B-LOC B-LOC
Koch O I-LOC I-LOC
Queensboro O I-LOC I-LOC
Bridge. O I-LOC I-LOC
The O O O
soufflés O B-FOOD B-FOOD
that O O O
the O O O
servers O O O
try O O O
to O O O
sell O O O
halfway O O O
through O O O
the O O O
meal O O O
can O O O
be O O O
a O O O
little O O O
soupy. O O O
But O O O
the O O O
blueberry O B-DISH B-DISH
crostata O I-DISH I-DISH
is O O O
a O O O
genuine O O O
pleasure, O O O
its O O O
crust O B-FOOD O
likably O O O
sweet O O O
and O O O
tender. O O O
And O O O
you'll O O O
appreciate O O O
the O O O
clean, O O O
bright O O O
flavors O O O
of O O O
a O O O
shot O O O
of O O O
Aperol O B-FOOD B-FOOD
dumped O O O
over O O O
grapefruit O B-FOOD B-DISH
granita O I-FOOD I-DISH
if, O O O
like O O O
me, O O O
you O O O
veer O O O
off-script O O O
and O O O
follow O O O
your O O O
piatto O B-DISH O
unico O I-DISH O
with O O O
a O O O
couple O O O
of O O O
main O O O
courses. O O O
SPEAKING O O O
OF O O O
laid-back O O O
restaurants O O O
where O O O
you O O O
can O O O
enjoy O O O
a O O O
pleasant O O O
and O O O
unpretentious O O O
summer O O O
meal, O O O
have O O O
you O O O
been O O O
to O O O
Yves? O B-EST B-EST
It O O O
opened O O O
without O O O
much O O O
of O O O
a O O O
splash O O O
about O O O
two O O O
years O O O
ago, O O O
despite O O O
occupying O O O
a O O O
handsome, O O O
spare O O O
dining O O O
room O O O
whose O O O
white O O O
interior O O O
makes O O O
the O O O
most O O O
of O O O
the O O O
afternoon O O O
sunlight O O O
that O O O
hits O O O
its O O O
TriBeCa O B-LOC B-LOC
corner, O O O
opposite O O O
the O O O
restaurant O O O
Locanda O B-EST B-EST
Verde. O I-EST I-EST
I O O O
missed O O O
the O O O
original O O O
chef's O O O
tenure, O O O
but O O O
lately O O O
I've O O O
been O O O
intrigued O O O
by O O O
the O O O
cooking O O O
of O O O
Alex O O O
Baker, O O O
who O O O
took O O O
over O O O
in O O O
February. O O O
She O O O
is O O O
Paris-trained, O B-LOC O
having O O O
gone O O O
to O O O
culinary O O O
school O O O
and O O O
worked O O O
at O O O
Spring O B-EST B-EST
and O O O
Le O B-EST B-EST
Chateaubriand O I-EST I-EST
there, O O O
before O O O
coming O O O
to O O O
New O B-LOC B-LOC
York O I-LOC I-LOC
to O O O
help O O O
open O O O
Rebelle O B-EST B-EST
in O O O
2015. O O O
At O O O
Yves, O B-EST B-EST
she O O O
interprets O O O
French O B-CUISINE B-CUISINE
food O O O
with O O O
an O O O
appealingly O O O
relaxed, O O O
seasonal O O O
attitude. O O O
In O O O
early O O O
June O O O
she O O O
brought O O O
little O O O
bright-green O O O
favas O B-FOOD B-FOOD
and O O O
sticks O O O
of O O O
asparagus O B-FOOD B-FOOD
together O O O
with O O O
fresh-herb O B-FOOD B-FOOD
pappardelle, O I-FOOD I-FOOD
and O O O
if O O O
you're O O O
wondering O O O
what O O O
makes O O O
that O O O
French, O B-CUISINE B-CUISINE
the O O O
answer O O O
is O O O
a O O O
pistou O B-FOOD B-FOOD
loaded O O O
with O O O
tarragon O B-FOOD B-FOOD
and O O O
chervil. O B-FOOD B-FOOD
There O O O
was O O O
also O O O
a O O O
reassuringly O O O
gentle O O O
navarin O B-DISH B-DISH
of O I-DISH I-DISH
lamb, O I-DISH I-DISH
with O O O
a O O O
small O O O
spring O O O
garden O O O
in O O O
addition O O O
to O O O
the O O O
customary O O O
carrots O B-FOOD B-FOOD
and O O O
potatoes: O B-FOOD B-FOOD
grilled O B-FOOD B-FOOD
baby O I-FOOD I-FOOD
leeks O I-FOOD I-FOOD
and O O O
asparagus O B-FOOD B-FOOD
stalks, O I-FOOD I-FOOD
and O O O
tender O O O
