-DOCSTART- -X- -X- -X-
   
There O O O
was O O O
a O O O
time O O O
when O O O
there O O O
was O O O
only O O O
one O O O
Nobu, B-EST O B-EST
on O O O
Hudson B-LOC O B-LOC
Street I-LOC O I-LOC
in O O O
TriBeCa. B-LOC O B-LOC
When O O O
it O O O
opened O O O
in O O O
1994, O O O
it O O O
was O O O
the O O O
first O O O
restaurant O O O
outside O O O
Los B-LOC O B-LOC
Angeles I-LOC O I-LOC
to O O O
offer O O O
Nobuyuki O O O
Matsuhisa O O O
's O O O
startling O O O
new O O O
liaison O O O
of O O O
sushi B-FOOD O B-FOOD
and O O O
other O O O
Japanese B-CUISINE O B-CUISINE
food O O O
with O O O
Peruvian B-CUISINE O B-CUISINE
flavors. O O O
The O O O
herds O O O
of O O O
imitators O O O
were O O O
still O O O
to O O O
come. O O O
If O O O
you O O O
wanted O O O
to O O O
try O O O
raw B-DISH O B-DISH
yellowtail I-DISH O I-DISH
in I-DISH O I-DISH
ponzu I-DISH O I-DISH
under I-DISH O O
a I-DISH O O
green I-DISH O O
jalapeño I-DISH O B-FOOD
wheel, I-DISH O I-FOOD
or O O O
fried B-DISH O B-DISH
rock I-DISH O I-DISH
shrimp I-DISH O I-DISH
shimmering I-DISH O O
with I-DISH O O
spiced I-DISH O B-FOOD
mayonnaise, I-DISH O I-FOOD
or O O O
broiled B-DISH O B-DISH
black I-DISH O I-DISH
cod I-DISH O I-DISH
in I-DISH O I-DISH
miso I-DISH O I-DISH
so O O O
sweet O O O
it O O O
might O O O
have O O O
been O O O
maple B-FOOD O B-FOOD
syrup I-FOOD O I-FOOD
-- O O O
and O O O
for O O O
a O O O
few O O O
years O O O
it O O O
seemed O O O
as O O O
if O O O
that O O O
was O O O
all O O O
anybody O O O
wanted O O O
-- O O O
you O O O
either O O O
went O O O
to O O O
Matsuhisa B-EST O B-EST
in O O O
Beverly B-LOC O B-LOC
Hills, I-LOC O I-LOC
Calif., I-LOC O I-LOC
or O O O
you O O O
went O O O
to O O O
Hudson B-LOC O B-LOC
Street. I-LOC O I-LOC
Now O O O
you O O O
can O O O
eat O O O
Nobu B-EST O B-EST
ceviche B-DISH O B-DISH
in O O O
Dubai, B-LOC O B-LOC
Budapest B-LOC O B-LOC
and O O O
Cape B-LOC O B-LOC
Town. I-LOC O I-LOC
If O O O
you O O O
want O O O
Nobu B-EST O B-EST
sashimi B-DISH O B-DISH
salad I-DISH O I-DISH
for O O O
dinner O O O
followed O O O
by O O O
a O O O
night O O O
in O O O
a O O O
Nobu B-EST O B-EST
hotel, O O O
you O O O
can O O O
do O O O
that O O O
in O O O
Marbella, B-LOC O B-LOC
Manila, B-LOC O B-LOC
Miami B-LOC O B-LOC
or O O O
Palo B-LOC O B-LOC
Alto. I-LOC O I-LOC
When O O O
the O O O
United O O O
States O O O
Space O O O
Force O O O
establishes O O O
its O O O
first O O O
lunar O O O
base, O O O
the O O O
generals O O O
and O O O
majors O O O
will O O O
no O O O
doubt O O O
find O O O
a O O O
Nobu B-EST O B-EST
there, O O O
with O O O
tuna B-DISH O B-DISH
tataki I-DISH O I-DISH
on O O O
the O O O
menu O O O
and O O O
a O O O
line O O O
three-deep O O O
at O O O
the O O O
bar. O O O
This O O O
is O O O
because O O O
after O O O
the O O O
success O O O
of O O O
Nobu B-EST O B-EST
in O O O
TriBeCa, B-LOC O B-LOC
Mr. O O O
Matsuhisa O O O
and O O O
his O O O
partners O O O
made O O O
a O O O
strategic O O O
decision. O O O
The O O O
food O O O
would O O O
stay O O O
roughly O O O
the O O O
same O O O
-- O O O
more O O O
on O O O
this O O O
in O O O
a O O O
minute O O O
-- O O O
but O O O
the O O O
surroundings O O O
would O O O
grow O O O
bigger, O O O
boozier, O O O
louder, O O O
more O O O
theatrical. O O O
If O O O
Nobu B-EST O B-EST
did O O O
not O O O
exactly O O O
invent O O O
the O O O
Asian B-TYPE O O
Party I-TYPE O O
Temple I-TYPE O O
restaurant O O O
genre, O O O
it O O O
certainly O O O
drew O O O
the O O O
blueprints. O O O
At O O O
these O O O
new O O O
Nobus, B-EST O B-EST
Mr. O O O
Matsuhisa's O O O
food O O O
was O O O
still O O O
a O O O
major O O O
event, O O O
but O O O
not O O O
necessarily O O O
the O O O
main O O O
event. O O O
And O O O
the O O O
question O O O
was O O O
not O O O
just O O O
whether O O O
you O O O
felt O O O
like O O O
eating O O O
at O O O
Nobu B-EST O B-EST
but O O O
whether O O O
you O O O
felt O O O
like O O O
being O O O
at O O O
Nobu. B-EST O B-EST
The O O O
Malibu B-LOC O B-LOC
location O O O
in O O O
particular O O O
has O O O
a O O O
reputation O O O
for O O O
intense O O O
good-time O O O
vibes O O O
that O O O
can O O O
drive O O O
away O O O
customers O O O
who O O O
merely O O O
want O O O
to O O O
eat. O O O
All O O O
this O O O
was O O O
encapsulated O O O
for O O O
me O O O
in O O O
two O O O
brief O O O
scenes O O O
from O O O
my O O O
recent O O O
meals O O O
at O O O
Nobu B-EST O B-EST
Downtown I-EST O I-EST
and O O O
Nobu B-EST O B-EST
Fifty I-EST O I-EST
Seven I-EST O I-EST
. O O O
The O O O
first O O O
episode O O O
took O O O
place O O O
while O O O
I O O O
was O O O
sitting O O O
at O O O
the O O O
sushi B-TYPE O B-TYPE
bar I-TYPE O I-TYPE
of O O O
Nobu B-EST O B-EST
Downtown. I-EST O I-EST
This O O O
location, O O O
inside O O O
the O O O
old O O B-LOC
AT&T O O I-LOC
tower O O I-LOC
on O O I-LOC
Lower B-LOC O I-LOC
Broadway, I-LOC O I-LOC
is O O O
theoretically O O O
the O O O
successor O O O
to O O O
the O O O
first O O O
Nobu; B-EST O O
it O O O
opened O O O
last O O O
year O O O
a O O O
few O O O
weeks O O O
after O O O
the O O O
original O O O
closed. O O O
The O O O
sushi B-TYPE O B-TYPE
bar I-TYPE O I-TYPE
was O O O
the O O O
heart O O O
of O O O
the O O O
TriBeCa B-LOC O B-LOC
restaurant. O O O
The O O O
chefs O O O
behind O O O
it O O O
prepared O O O
or O O O
touched O O O
at O O O
least O O O
half O O O
the O O O
food, O O O
and O O O
seats O O O
there O O O
were O O O
so O O O
coveted O O O
that O O O
during O O O
the O O O
1990s, O O O
when O O O
even O O O
celebrities O O O
complained O O O
about O O O
how O O O
hard O O O
it O O O
was O O O
to O O O
get O O O
in, O O O
a O O O
mostly O O O
sushi B-TYPE O O
restaurant I-TYPE O O
called O O O
Next B-EST O B-EST
Door I-EST O I-EST
Nobu I-EST O I-EST
was O O O
opened O O O
simply O O O
to O O O
contain O O O
the O O O
overflow. O O O
(It O O O
closed O O O
last O O O
year, O O O
too, O O O
and O O O
won't O O O
be O O O
replaced.) O O O
At O O O
Nobu B-EST O B-EST
Downtown, I-EST O I-EST
the O O O
upstairs O O O
sushi O O O
counter O O O
is O O O
on O O O
the O O O
far O O O
side O O O
of O O O
the O O O
cocktail O O B-TYPE
bar O O I-TYPE
that O O O
the O O O
design O O O
firm O O O
Rockwell O O O
Group O O O
slipped O O O
in O O O
among O O O
the O O O
enormous O O O
fluted O O O
limestone O O O
columns O O O
that O O O
fill O O O
the O O O
building's O O O
ground O O O
floor O O O
like O O O
a O O O
petrified O O O
forest. O O O
I O O O
had O O O
just O O O
eaten O O O
a O O O
piece O O O
of O O O
Japanese B-CUISINE O B-FOOD
scallop B-DISH O I-FOOD
sushi I-DISH O I-FOOD
with O O O
a O O O
dangerous O O O
streak O O O
of O O O
wasabi B-FOOD O B-FOOD
when O O O
an O O O
animated O O O
group O O O
of O O O
four O O O
new O O O
arrivals O O O
appeared O O O
next O O O
to O O O
me. O O O
The O O O
sushi O O O
chefs O O O
eyed O O O
them O O O
warily, O O O
because O O O
they O O O
appeared O O O
to O O O
intend O O O
to O O O
cluster O O O
around O O O
a O O O
single O O O
stool, O O O
the O O O
way O O O
people O O O
do O O O
at O O O
a O O O
bar. O O O
Soon O O O
it O O O
became O O O
apparent O O O
that O O O
they O O O
thought O O O
they O O O
were O O O
at O O O
the O O O
bar. O O O
But O O O
the O O O
people O O O
they O O O
mistook O O O
for O O O
bartenders O O O
were O O O
all O O O
busy O O O
slicing O O O
raw O O O
fish, B-FOOD O O
so O O O
eventually O O O
the O O O
group O O O
moved O O O
on O O O
to O O O
look O O O
for O O O
somebody O O O
to O O O
make O O O
them O O O
a O O O
drink. O O O
Moments O O O
like O O O
this O O O
didn't O O O
tend O O O
to O O O
happen O O O
at O O O
the O O O
original O O O
Nobu, B-EST O B-EST
but O O O
they O O O
do O O O
bring O O O
Nobu B-EST O B-EST
Downtown I-EST O I-EST
in O O O
line O O O
with O O O
Nobu B-EST O B-EST
Fifty I-EST O I-EST
Seven. I-EST O I-EST
In O O O
business O O O
on O O O
57th B-LOC O O
Street I-LOC O O
since O O O
2005, O O O
Nobu B-EST O B-EST
Fifty I-EST O I-EST
Seven I-EST O I-EST
is O O O
another O O O
two-story O O O
proposition. O O O
Between O O O
5 O O O
and O O O
7 O O O
p.m. O O O
its O O O
ground-floor O O O
lounge O O O
acts O O O
on O O O
young O O O
Midtown B-LOC O B-LOC
professionals O O I-LOC
like O O O
the O O O
fishing O O O
nets O O O
evoked O O O
by O O O
Rockwell O O O
Group's O O O
design. O O O
At O O O
the O O O
time O O O
the O O O
second O O O
scene O O O
took O O O
place, O O O
the O O O
bartenders O O O
looked O O O
as O O O
if O O O
they O O O
were O O O
struggling O O O
not O O O
to O O O
get O O O
caught. O O O
My O O O
cocktail, O O O
a O O O
Negroni-esque B-DISH O B-DISH
thing O O I-DISH
with O O I-DISH
sake B-FOOD O I-DISH
in O O O
it O O O
that O O O
was O O O
ferried O O O
to O O O
my O O O
upstairs O O O
table O O O
from O O O
the O O O
downstairs O O O
bar, O O O
was O O O
neither O O O
shaken O O O
nor O O O
stirred; O O O
it O O O
was, O O O
in O O O
fact, O O O
almost O O O
hot. O O O
While O O O
I O O O
was O O O
waiting O O O
for O O O
the O O O
cocktail O O O
to O O O
be O O O
cooled O O O
by O O O
its O O O
single O O O
ice O O O
cube, O O O
a O O O
server O O O
was O O O
struggling O O O
to O O O
open O O O
a O O O
bottle O O O
of O O O
Champagne B-FOOD O B-FOOD
for O O O
a O O O
table O O O
of O O O
at O O O
least O O O
10 O O O
men O O O
next O O O
to O O O
me. O O O
When O O O
the O O O
cork O O O
came O O O
out, O O O
he O O O
managed O O O
to O O O
spray O O O
the O O O
room O O O
in O O O
a O O O
manner O O O
usually O O O
seen O O O
in O O O
the O O O
Super O O O
Bowl O O O
champions' O O O
locker O O O
room. O O O
Everybody O O O
nearby O O O
got O O O
a O O O
little O O O
wet, O O O
including O O O
me O O O
and O O O
my O O O
guests, O O O
but O O O
nobody O O O
seemed O O O
to O O O
notice. O O O
Servers O O O
at O O O
both O O O
addresses O O O
have O O O
the O O O
brisk, O O O
well-drilled, O O O
impersonal O O O
and O O O
slightly O O O
numbed O O O
quality O O O
that O O O
comes O O O
of O O O
waiting O O O
on O O O
hundreds O O O
of O O O
people O O O
a O O O
day. O O O
At O O O
Nobu B-EST O B-EST
Fifty-Seven, I-EST O I-EST
one O O O
told O O O
me, O O O
"Our O O O
menu O O O
is O O O
kaiseki O O O
style, O O O
so O O O
it's O O O
like O O O
tapas. O O O
Everything O O O
is O O O
meant O O O
for O O O
sharing." O O O
I O O O
must O O O
have O O O
looked O O O
confused O O O
because O O O
he O O O
added, O O O
"Some O O O
dishes O O O
are O O O
going O O O
to O O O
be O O O
bigger O O O
than O O O
others." O O O
Nobu B-EST O B-EST
Fifty-Seven I-EST O I-EST
was O O O
given O O O
three O O O
stars O O O
in O O O
its O O O
last O O O
New O O O
York O O O
Times O O O
review O O O
, O O O
by O O O
Frank O O O
Bruni O O O
in O O O
2005. O O O
That's O O O
what O O O
Ruth O O O
Reichl O O O
gave O O O
the O O O
original O O O
in O O O
1995. O O O
After O O O
three O O O
recent O O O
visits O O O
to O O O
each O O O
location, O O O
I O O O
decided O O O
that, O O O
apart O O O
from O O O
minor O O O
menu O O O
variations, O O O
any O O O
qualitative O O O
difference O O O
in O O O
the O O O
food O O O
between O O O
the O O O
two O O O
branches O O O
is O O O
too O O O
subtle O O O
for O O O
me O O O
to O O O
make O O O
out. O O O
The O O O
chefs O O O
uptown O O O
are O O O
Taku O O O
Sato O O O
and O O O
Matt O O O
Hoyle. O O O
Downtown O O O
was O O O
led O O O
by O O O
Ricky O O O
Estrellado O O O
and O O O
Ryo O O O
Hasegawa O O O
until O O O
June, O O O
when O O O
Mr. O O O
Estrellado O O O
died O O O
suddenly. O O O
His O O O
successor O O O
has O O O
not O O O
been O O O
named. O O O
Both O O O
kitchens O O O
are O O O
models O O O
of O O O
superior O O O
ingredient O O O
shopping O O O
and O O O
consistent O O O
performance. O O O
When O O O
those O O O
classic O O O
Nobu B-EST O B-EST
dishes O O O
appear, O O O
they O O O
will O O O
be O O O
exactly O O O
like O O O
the O O O
last O O O
time O O O
you O O O
had O O O
them. O O O
In O O O
the O O O
case O O O
of O O O
the O O O
mayo-bathed B-DISH O B-DISH
fried I-DISH O I-DISH
shrimp, I-DISH O I-DISH
that O O O
may O O O
not O O O
be O O O
an O O O
entirely O O O
good O O O
thing. O O O
And O O O
I O O O
still O O O
think O O O
the O O O
flavor O O O
of O O O
the O O O
caviar B-FOOD O B-FOOD
that O O O
crowns O O O
tuna, B-FOOD O B-FOOD
or O O O
salmon, B-FOOD O B-FOOD
or O O O
yellowtail B-FOOD O B-FOOD
tartare I-FOOD O I-FOOD
gets O O O
elbowed O O O
out O O O
of O O O
the O O O
way O O O
by O O O
the O O O
wasabi-soy B-FOOD O B-FOOD
sauce. I-FOOD O I-FOOD
But O O O
the O O O
tiradito, B-DISH O B-DISH
slices O O O
of O O O
yellowtail B-FOOD O B-FOOD
squirted O O O
with O O O
lemon B-FOOD O B-FOOD
and I-FOOD O I-FOOD
yuzu I-FOOD O I-FOOD
juice, I-FOOD O I-FOOD
then O O O
dotted O O O
with O O O
puréed B-FOOD O B-FOOD
rocoto I-FOOD O I-FOOD
pepper, I-FOOD O I-FOOD
is O O O
always O O O
wonderfully O O O
bracing. O O O
The O O O
candylike O O O
black B-DISH O B-DISH
cod I-DISH O I-DISH
is O O O
as O O O
hard O O O
to O O O
deny O O O
as O O O
ever, O O O
even O O O
if O O O
the O O O
extra O O O
sweetening O O O
Mr. O O O
Matsuhisa O O O
gives O O O
this O O O
traditional O O O
Japanese B-CUISINE O B-CUISINE
dish O O O
strikes O O O
me O O O
as O O O
somewhat O O O
shameless. O O O
The O O O
sashimi B-DISH O B-DISH
salad I-DISH O I-DISH
and O O O
the O O O
lobster B-DISH O B-DISH
shiitake I-DISH O I-DISH
salads I-DISH O I-DISH
are O O O
both O O O
better O O O
than O O O
any O O O
salad B-FOOD O O
from O O O
a O O O
global O O O
chain O O O
has O O O
the O O O
right O O O
to O O O
be. O O O
I O O O
don't O O O
know O O O
who O O O
orders O O O
the O O O
dishes O O O
marked O O O
Nobu O O O
Now, O O O
but O O O
I O O O
tried O O O
a O O O
few. O O O
Umami B-DISH O B-DISH
Chilean I-DISH O I-DISH
sea I-DISH O I-DISH
bass: I-DISH O I-DISH
not O O O
worth O O O
it, O O O
even O O O
for O O O
the O O O
slightly O O O
exotic O O O
return O O O
of O O O
a O O O
fish B-FOOD O O
that O O O
hasn't O O O
been O O O
seen O O O
much O O O
since O O O
the O O O
'90s. O O O
Kumamoto B-DISH O B-DISH
shooters: I-DISH O I-DISH
a O O O
thrilling O O O
series O O O
of O O O
flavors O O O
that O O O
will O O O
recall O O O
the O O O
way O O O
you O O O
felt O O O
the O O O
first O O O
time O O O
you O O O
ate O O O
at O O O
Nobu. B-EST O B-EST
Michele O O O
Goldsmith's O O O
desserts, O O O
served O O O
both O O O
uptown O O O
and O O O
downtown, O O O
are O O O
modern O O O
and O O O
playful O O O
and O O O
don't O O O
try O O O
too O O O
hard O O O
to O O O
follow O O O
the O O O
theme, O O O
whatever O O O
that O O O
is. O O O
Over O O O
the O O O
years, O O O
the O O O
Hudson B-LOC O B-EST
Street I-LOC O I-EST
Nobu B-EST O I-EST
became O O O
something O O O
unusual, O O O
a O O O
restaurant O O O
that O O O
could O O O
serve O O O
tourists O O O
and O O O
families O O O
from O O O
around O O O
the O O O
corner O O O
with O O O
equal O O O
aplomb. O O O
But O O O
a O O O
meal O O O
at O O O
Nobu B-EST O B-EST
is O O O
still O O O
among O O O
the O O O
best, O O O
although O O O
not O O O
the O O O
cheapest, O O O
ways O O O
to O O O
introduce O O O
children O O O
to O O O
raw O O B-FOOD
fish. B-FOOD O I-FOOD
And O O O
sitting O O O
at O O O
the O O O
sushi O O O
bar O O O
can O O O
still O O O
provide O O O
the O O O
intimacy O O O
that O O O
the O O O
rest O O O
of O O O
the O O O
place O O O
lacks. O O O
The O O O
chefs O O O
behind O O O
the O O O
counter O O O
may O O O
not O O O
draw O O O
the O O O
kinmedai O O O
cultists O O O
who O O O
flock O O O
to O O O
Sushi B-EST O B-EST
Zo I-EST O I-EST
or O O O
Sushi B-EST O B-EST
Ginza I-EST O I-EST
Onodera I-EST O I-EST
, O O O
but O O O
they O O O
know O O O
what O O O
they're O O O
doing, O O O
and O O O
they O O O
light O O O
up O O O
when O O O
they O O O
get O O O
a O O O
customer O O O
who O O O
can O O O
tell. O O O
Follow O O O
NYT O O O
Food O O O
on O O O
Twitter O O O
and O O O
NYT O O O
Cooking O O O
on O O O
Instagram O O O
, O O O
Facebook O O O
and O O O
Pinterest O O O
. O O O
Get O O O
regular O O O
updates O O O
from O O O
NYT O O O
Cooking, O O O
with O O O
recipe O O O
suggestions, O O O
cooking O O O
tips O O O
and O O O
shopping O O O
advice O O O
. O O O
   
   
